Barilović,47252
Bosiljevo,47251
Cerovac Vukmanički,47241
Cetingrad,47222
Draganići,47201
Drežnica,47313
Drežnik Grad,47246
Duga Resa,47250
Generalski Stol,47262
Gornje Zagorje,47307
Jasenak,47314
Josipdol,47303
Kamanje,47282
Karlovac,47000
Kašt,47284
Krnjak,47242
Lasinja,47206
Mahično,47286
Mali Erjavec,47281
Netretić,47271
Ogulin,47300
Oštarije,47302
Ozalj,47280
Plaški,47304
Radatovići,47285
Rakovica,47245
Rečica,47203
Ribnik,47272
Saborsko,47306
Skakavac,47212
Slunj,47240
Šišljavić,47204
Tounj,47264
Vivodina,47283
Vojnić,47220
Zvečaj,47261
Žakanje,47276
