Tip ustanove:;Osnovna škola;;;;;;
Županija:;Osječko-Baranjska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Šećerana;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
Osnovna škola - redovni program - 1. razred osnovne škole ;;;;;;;
HRVATSKI JEZIK ;;;;;;;
3201;PČELICA POČETNICA - I. DIO : za 1. razred osnovne škole + slovarica;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;45,00;ŠK;;1. razred osnovne škole
3200;PČELICA POČETNICA : radna bilježnica s listićima - II. dio : za 1. razred osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;39,00;ŠK;;1. razred osnovne škole
3202;PČELICA POČETNICA - II. DIO : za 1. razred osnovne škole + listići;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;45,00;ŠK;;1. razred osnovne škole
3199;PČELICA POČETNICA : radna bilježnica s listićima - I. dio : za 1. razred osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;39,00;ŠK;;1. razred osnovne škole
ENGLESKI JEZIK ;;;;;;;
5564;DIP IN 1 : radna bilježnica za engleski jezik u prvom razredu osnovne škole - 1. godina učenja;Biserka Džeba;radna bilježnica;51,00;ŠK;Novo;1. razred osnovne škole
5563;DIP IN 1 : udžbenik engleskog jezika s višemedijskim nastavnim materijalima u prvom razredu osnovne škole - 1. godina učenja;Biserka Džeba;udžbenik s višemedijskim nastavnim materijalima;61,00;ŠK;Novo;1. razred osnovne škole
MATEMATIKA ;;;;;;;
5682;MOJ SRETNI BROJ 1 : udžbenik matematike s višemedijskim nastavnim materijalima u prvom razredu osnovne škole;Dubravka Miklec, Graciella Prtajin, Sanja Jakovljević Rogić;udžbenik s višemedijskim nastavnim materijalima;52,00;ŠK;Novo;1. razred osnovne škole
5683;MOJ SRETNI BROJ 1 : radna bilježnica za matematiku u prvom razredu osnovne škole;Dubravka Miklec, Graciella Prtajin, Sanja Jakovljević Rogić;radna bilježnica;52,00;ŠK;Novo;1. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
5748;EUREKA! 1 : radna bilježnica za prirodu i društvo u prvom razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;radna bilježnica;68,00;ŠK;Novo;1. razred osnovne škole
5747;EUREKA! 1 : udžbenik prirode i društva s višemedijskim nastavnim materijalima u prvom razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;udžbenik s višemedijskim nastavnim materijalima;55,00;ŠK;Novo;1. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5609;RAZIGRANI ZVUCI 1 : udžbenik glazbene kulture s višemedijskim nastavnim materijalima na 2 CD-a u prvom razredu osnovne škole;Vladimir Jandrašek, Jelena Ivaci;udžbenik s 2 CD-a;59,00;ŠK;Novo;1. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4772;UČIMO LJUBITI BOGA I LJUDE : udžbenik za katolički vjeronauk prvoga razreda osnovne škole;Josip Jakšić, Karolina Manda Mićanović;udžbenik;36,00;GK;Novo;1. razred osnovne škole
4773;UČIMO LJUBITI BOGA I LJUDE : radna bilježnica za katolički vjeronauk prvoga razreda osnovne škole;Josip Jakšić, Karolina Manda Mićanović;radna bilježnica;23,00;GK;Novo;1. razred osnovne škole
Osnovna škola - redovni program - 2. razred osnovne škole ;;;;;;;
HRVATSKI JEZIK - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
704;POČETNICA ŠAPTALICA 3 : udžbenik za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;udžbenik;62,00;ŠK;;2. razred osnovne škole
703;POČETNICA ŠAPTALICA 2 : udžbenik za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;udžbenik;62,00;ŠK;;2. razred osnovne škole
ENGLESKI JEZIK ;;;;;;;
5566;DIP IN 2 : radna bilježnica za engleski jezik u drugom razredu osnovne škole - 2. godina učenja;Biserka Džeba, Maja Mardešić;radna bilježnica;52,00;ŠK;Novo;2. razred osnovne škole
5565;DIP IN 2 : udžbenik engleskog jezika s višemedijskim nastavnim materijalima u drugom razredu osnovne škole - 2. godina učenja;Biserka Džeba, Maja Mardešić;udžbenik s višemedijskim nastavnim materijalima;61,00;ŠK;Novo;2. razred osnovne škole
MATEMATIKA ;;;;;;;
5684;MOJ SRETNI BROJ 2 : udžbenik matematike s višemedijskim nastavnim materijalima u drugom razredu osnovne škole;Dubravka Miklec, Graciella Prtajin, Sanja Jakovljević Rogić;udžbenik s višemedijskim nastavnim materijalima;60,00;ŠK;Novo;2. razred osnovne škole
5685;MOJ SRETNI BROJ 2 : radna bilježnica za matematiku u drugom razredu osnovne škole;Dubravka Miklec, Graciella Prtajin, Sanja Jakovljević Rogić;radna bilježnica;59,00;ŠK;Novo;2. razred osnovne škole
MATEMATIKA - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
1959;MOJ MALI MATEMATIČKI SVIJET 2 : udžbenik s radnom bilježnicom za 2. razred osnovne škole, II. dio;Biljana Basarić Čulk, Kristina Kostadinovska, Ivan Mrkonjić, Đurđica Salamon;udžbenik s radnom bilježnicom;95,00;ALKA;;2. razred osnovne škole
1958;MOJ MALI MATEMATIČKI SVIJET 2 : udžbenik s radnom bilježnicom za učenike 2. razreda osnovne škole, I. dio;Biljana Basarić Čulk, Kristina Kostadinovska, Ivan Mrkonjić, Đurđica Salamon;udžbenik s radnom bilježnicom;95,00;ALKA;;2. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
5750;EUREKA! 2 : radna bilježnica za prirodu i društvo u drugom razredu osnovne škole;Snježana Bakarić Palička, Sanja Ćorić;radna bilježnica;68,00;ŠK;Novo;2. razred osnovne škole
