Tip ustanove:;Osnovna škola;;;;;;
Županija:;Vukovarsko-Srijemska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Bartola Kašića;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
Osnovna škola - redovni program - 1. razred osnovne škole ;;;;;;;
HRVATSKI JEZIK ;;;;;;;
3201;PČELICA POČETNICA - I. DIO : za 1. razred osnovne škole + slovarica;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;45,00;ŠK;;1. razred osnovne škole
3202;PČELICA POČETNICA - II. DIO : za 1. razred osnovne škole + listići;Sonja Ivić, Marija Krmpotić-Dabo;udžbenik;45,00;ŠK;;1. razred osnovne škole
3199;PČELICA POČETNICA : radna bilježnica s listićima - I. dio : za 1. razred osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;39,00;ŠK;;1. razred osnovne škole
3200;PČELICA POČETNICA : radna bilježnica s listićima - II. dio : za 1. razred osnovne škole;Sonja Ivić, Marija Krmpotić-Dabo;radna bilježnica;39,00;ŠK;;1. razred osnovne škole
ENGLESKI JEZIK ;;;;;;;
5037;HAPPY HOUSE 1 THIRD EDITION, CLASS BOOK : udžbenik engleskog jezika za prvi razred osnovne škole, prva godina učenja;Stella Maidment, Lorena Roberts;udžbenik;60,00;OXFORD;Novo;1. razred osnovne škole
5038;HAPPY HOUSE 1 THIRD EDITION, ACTIVITY BOOK : radna bilježnica za engleski jezik u prvom razredu osnovne škole, prva godina učenja;Stella Maidment, Lorena Roberts;radna bilježnica;52,00;OXFORD;Novo;1. razred osnovne škole
NJEMAČKI JEZIK ;;;;;;;
87;HURRA! DEUTSCH! 1 : radna bilježnica njemačkog jezika za 1. razred osnovne škole : I. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;radna bilježnica;46,00;ŠK;;1. razred osnovne škole
88;HURRA! DEUTSCH! 1 : udžbenik njemačkog jezika s interaktivnim CD-om za 1. razred osnovne škole : I. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;udžbenik s CD-om;60,00;ŠK;;1. razred osnovne škole
MATEMATIKA ;;;;;;;
5682;MOJ SRETNI BROJ 1 : udžbenik matematike s višemedijskim nastavnim materijalima u prvom razredu osnovne škole;Dubravka Miklec, Graciella Prtajin, Sanja Jakovljević Rogić;udžbenik s višemedijskim nastavnim materijalima;52,00;ŠK;Novo;1. razred osnovne škole
5683;MOJ SRETNI BROJ 1 : radna bilježnica za matematiku u prvom razredu osnovne škole;Dubravka Miklec, Graciella Prtajin, Sanja Jakovljević Rogić;radna bilježnica;52,00;ŠK;Novo;1. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
5739;NAŠ SVIJET 1 : udžbenik prirode i društva s višemedijskim nastavnim materijalima u prvom razredu osnovne škole;Alena Letina, Tamara Kisovar Ivanda, Ivan De Zan;udžbenik s višemedijskim nastavnim materijalima;55,00;ŠK;Novo;1. razred osnovne škole
5740;NAŠ SVIJET 1 : radna bilježnica za prirodu i društvo u prvom razredu osnovne škole;Alena Letina, Tamara Kisovar Ivanda, Ivan De Zan;radna bilježnica;59,00;ŠK;Novo;1. razred osnovne škole
GLAZBENA KULTURA ;;;;;;;
5609;RAZIGRANI ZVUCI 1 : udžbenik glazbene kulture s višemedijskim nastavnim materijalima na 2 CD-a u prvom razredu osnovne škole;Vladimir Jandrašek, Jelena Ivaci;udžbenik s 2 CD-a;59,00;ŠK;Novo;1. razred osnovne škole
VJERONAUK - IZBORNI PREDMET ;;;;;;;
4772;UČIMO LJUBITI BOGA I LJUDE : udžbenik za katolički vjeronauk prvoga razreda osnovne škole;Josip Jakšić, Karolina Manda Mićanović;udžbenik;36,00;GK;Novo;1. razred osnovne škole
4773;UČIMO LJUBITI BOGA I LJUDE : radna bilježnica za katolički vjeronauk prvoga razreda osnovne škole;Josip Jakšić, Karolina Manda Mićanović;radna bilježnica;23,00;GK;Novo;1. razred osnovne škole
Osnovna škola - redovni program - 2. razred osnovne škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
5041;HAPPY STREET 1 THIRD EDITION, CLASS BOOK : udžbenik engleskog jezika za drugi razred osnovne škole, druga godina učenja;Stella Maidment, Lorena Roberts;udžbenik;60,00;OXFORD;Novo;2. razred osnovne škole
5042;HAPPY STREET 1 THIRD EDITION, ACTIVITY BOOK : radna bilježnica za engleski jezik u drugom razredu osnovne škole, druga godina učenja;Stella Maidment, Lorena Roberts;radna bilježnica;53,00;OXFORD;Novo;2. razred osnovne škole
NJEMAČKI JEZIK ;;;;;;;
758;HURRA! DEUTSCH! 2 : udžbenik njemačkog jezika s interaktivnim CD-om za 2. razred osnovne škole : II. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;udžbenik s CD-om;60,00;ŠK;;2. razred osnovne škole
757;HURRA! DEUTSCH! 2 : radna bilježnica njemačkog jezika 2. razred osnovne škole : II. godina učenja;Jadranka Salopek, Ljerka Tomljenović Biškupić;radna bilježnica;46,00;ŠK;;2. razred osnovne škole
MATEMATIKA ;;;;;;;
5684;MOJ SRETNI BROJ 2 : udžbenik matematike s višemedijskim nastavnim materijalima u drugom razredu osnovne škole;Dubravka Miklec, Graciella Prtajin, Sanja Jakovljević Rogić;udžbenik s višemedijskim nastavnim materijalima;60,00;ŠK;Novo;2. razred osnovne škole
5685;MOJ SRETNI BROJ 2 : radna bilježnica za matematiku u drugom razredu osnovne škole;Dubravka Miklec, Graciella Prtajin, Sanja Jakovljević Rogić;radna bilježnica;59,00;ŠK;Novo;2. razred osnovne škole
PRIRODA I DRUŠTVO ;;;;;;;
