Tip ustanove:;Srednja škola;;;;;;
Županija:;Zadarska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
SREDNJA ŠKOLA KNEZA BRANIMIRA, BENKOVAC;;;;;Mišljenje Vijeća roditelja: nije dostavljeno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
Automehatroničar - JMO - 1. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4921;CHOICES ELEMENTARY : radna bilježnica engleskog jezika za 1. i 2. razred ili 1. razred trogodišnjih strukovnih škola, prvi strani jezik. Za 1. razred gimnazija, drugi strani jezik i 1. razred četverogodišnjih strukovnih škola, drugi strani jezik;Rod Fricker;radna bilježnica;69,00;LJEVAK;Novo;1. razred srednje škole
4920;CHOICES ELEMENTARY : udžbenik engleskog jezika za 1. i 2. razred ili 1. razred trogodišnjih strukovnih škola, prvi strani jezik. Za 1. razred gimnazija, drugi strani jezik i 1. razred četverogodišnjih strukovnih škola, drugi strani jezik;Michael Harris, Anna Sikorzynska;udžbenik;95,00;LJEVAK;Novo;1. razred srednje škole
VJERONAUK ;;;;;;;
1162;TRAŽITELJI SMISLA : udžbenika vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
HRVATSKI JEZIK - ZA TROGODIŠNJE STRUKOVNE ŠKOLE - KNJIŽEVNOST ;;;;;;;
1379;ČITANKA 1 : udžbenik za 1. razred trogodišnjih strukovnih škola;Snježana Zbukvić-Ožbolt, Snježana Zrinjan;udžbenik;103,00;ŠK;;1. razred srednje škole
HRVATSKI JEZIK - ZA TROGODIŠNJE STRUKOVNE ŠKOLE - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
1384;HRVATSKI JEZIK 1 : radna bilježnica za 1. razred trogodišnje strukovne škole;Snježana Zrinjan;radna bilježnica;39,00;ŠK;;1. razred srednje škole
1385;HRVATSKI JEZIK 1 : udžbenik za 1. razred trogodišnje strukovne škole;Snježana Zrinjan;udžbenik;74,00;ŠK;;1. razred srednje škole
MATEMATIKA - ZA DVOGODIŠNJE I TROGODIŠNJE PROGRAME ;;;;;;;
4938;MATEMATIKA U STRUCI 1 : udžbenik sa zbirkom zadataka za 1. razred JMO-a;Ivan Mrkjonjić, Snježana Šišić;udžbenik sa zbirkom zadataka;107,10;NEODIDACTA;Novo;1. razred srednje škole
INFORMATIKA - RAČUNALSTVO ;;;;;;;
5327;INFORMATIKA I RAČUNALSTVO : udžbenik za srednje strukovne škole;Vinkoslav Galešev, Milan Korać, Zlatan Soldo, Gordana Sokol, Bojan Kocijan;udžbenik;115,00;SYSPRINT;Novo;1. razred srednje škole
POVIJEST - ZA TROGODIŠNJE STRUKOVNE ŠKOLE ;;;;;;;
1688;HRVATSKA POVIJEST : udžbenik povijesti za 1. razred trogodišnjih strukovnih škola;Ivan Dukić, Krešimir Erdelja, Igor Stojaković;udžbenik;97,00;ŠK;;1. razred srednje škole
TEHNIČKE ŠKOLE – PODRUČJE ELEKTROTEHNIKE ;;;;;;;
1191;OSNOVE ELEKTROTEHNIKE 1 : udžbenik sa zbirkom zadataka i multimedijskim sadržajem za 1. razred srednjih elektrotehničkih škola;Nediljka Furčić, Antun Sertić, Vesna Vasilj;udžbenik i zbirka zadataka s multimedijskim sadržajem;130,20;NEODIDACTA;;1. razred srednje škole
1190;OSNOVE ELEKTROTEHNIKE 1 : radna bilježnica za 1. razred srednjih elektrotehničkih škola;Nediljka Furčić;radna bilježnica;46,20;NEODIDACTA;;1. razred srednje škole
TEHNIČKE ŠKOLE - PODRUČJE STROJARSTVA ;;;;;;;
1256;TEHNOLOGIJA OBRADE I MONTAŽE : udžbenik za 1. razred strojarske struke za obrtnička i industrijska zanimanja;Mijo Matošević;udžbenik;75,60;UM;;1. razred srednje škole
TROGODIŠNJE STROJARSKE STRUKOVNE ŠKOLE - JMO ;;;;;;;
2863;OSNOVE TEHNIČKIH MATERIJALA;Zvonimir Vlaić;radna bilježnica;42,00;KAIROS;;1. razred srednje škole
1264;OSNOVE TEHNIČKIH MATERIJALA : udžbenik za prvi razred strojarske struke (JMO);Zvonimir Vlaić;udžbenik;42,00;KAIROS;;1. razred srednje škole
1267;TEHNIČKO CRTANJE : radna bilježnica za trogodišnje strukovne škole (JMO);Jerko Pandžić;radna bilježnica;73,50;NEODIDACTA;;1. razred srednje škole
1268;TEHNIČKO CRTANJE : udžbenik s multimedijskim sadržajem za trogodišnje strukovne škole (JMO);Jerko Pandžić;udžbenik s multimedijskim sadržajem;139,65;NEODIDACTA;;1. razred srednje škole
Ekonomist - 1. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4927;"CHOICES INTERMEDIATE : radna bilježnica engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Rod Fricker;radna bilježnica;65,00;LJEVAK;Novo;1. razred srednje škole
