Tip ustanove:;Srednja škola;;;;;;
Županija:;Istarska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
"SREDNJA ŠKOLA ""VLADIMIR GORTAN"" - SCUOLA MEDIA SUPERIORE ""VLADIMIR GORTAN""";;;;;Mišljenje Vijeća roditelja: nije dostavljeno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
Ekonomist - 1. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4926;"CHOICES INTERMEDIATE : udžbenik engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Michael Harris, Anna Sikorzynska;udžbenik;95,00;LJEVAK;Novo;1. razred srednje škole
4927;"CHOICES INTERMEDIATE : radna bilježnica engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Rod Fricker;radna bilježnica;65,00;LJEVAK;Novo;1. razred srednje škole
GEOGRAFIJA ;;;;;;;
4890;GEOGRAFIJA 1 : udžbenik iz geografije za I. razred ekonomske škole;Emil Čokonaj, Vedran Šikić, Ružica Vuk;udžbenik;103,00;MERIDIJANI;Novo;1. razred srednje škole
BIOLOGIJA ;;;;;;;
1632;BIOLOGIJA : udžbenik za prvi razred ekonomske škole;Mirjana Mijić, Roberto Škara, Mauro Štifanić;udžbenik;105,00;ALKA;;1. razred srednje škole
TALIJANSKI JEZIK - DRUGI STRANI JEZIK ;;;;;;;
994;NUOVO PROGETTO ITALIANO 1 : quaderno degli esercizi : radna bilježnica iz talijanskog jezika za 1. i 2. razred gimnazije i četverogodišnje strukovne škole;S. Magnelli, T. Marin;radna bilježnica;81,00;VBZ;;1. razred srednje škole
993;NUOVO PROGETTO ITALIANO 1 : libro dello studente + CD-ROM : udžbenik talijanskog jezika za 1. i 2. razred gimnazije i četverogodišnje strukovne škole;S. Magnelli, T. Marin;udžbenik s CD-om;129,00;VBZ;;1. razred srednje škole
ETIKA ;;;;;;;
1700;ETIKA 1 : udžbenik za 1. razred gimnazije i srednje škole;Ćiril Čoh, Marija Lamot, Ksenija Matuš;udžbenik;89,00;ŠK;;1. razred srednje škole
VJERONAUK ;;;;;;;
1708;TRAŽITELJI SMISLA : udžbenik vjeronauka za 1. razred srednjih škola;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Mirjana Vučica, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - KNJIŽEVNOST ;;;;;;;
5390;ČITANKA 1 : čitanka u prvom razredu četverogodišnje srednje strukovne škole;Marija Čurić, Sanja Dužević-Šepac, Žarko Gazzari, Davorka Horvatek-Modrić, Ruža Križan-Sirovica;udžbenik;103,00;ŠK;Novo;1. razred srednje škole
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
1404;HRVATSKI JEZIK 1 : udžbenik hrvatskog jezika za četverogodišnje strukovne škole;Marina Čubrić, Marica Kurtak;udžbenik;76,00;ŠK;;1. razred srednje škole
1403;HRVATSKI JEZIK 1 : radna bilježnica hrvatskog jezika za četverogodišnje strukovne škole;Marina Čubrić, Marica Kurtak;radna bilježnica;39,00;ŠK;;1. razred srednje škole
MATEMATIKA - ZA ČETVEROGODIŠNJE PROGRAME ;;;;;;;
4742;MATEMATIKA 1 : udžbenik i zbirka zadataka za 1. razred ekonomskih škola;Branimir Dakić, Neven Elezović, Sonja Banić;udžbenik sa zbirkom zadataka;131,00;ELEMENT;Novo;1. razred srednje škole
INFORMATIKA - RAČUNALSTVO ;;;;;;;
5331;INFORMATIKA I RAČUNALSTVO : udžbenik za gimnazije i srednje škole;Vinkoslav Galešev, Predrag Brođanac, Nikola Dmitrović, Milan Korać, Snježana Babić, Gordana Sokol, Zlatan Soldo, Dragan Kovač;udžbenik;153,00;SYSPRINT;Novo;1. razred srednje škole
KEMIJA - ZA JEDNOGODIŠNJE PROGRAME ;;;;;;;
1654;KEMIJA : udžbenik za 1. razred ekonomskih škola;Antica Petreski, Blanka Sever;udžbenik;97,00;ŠK;;1. razred srednje škole
POVIJEST - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE ;;;;;;;
1691;HRVATSKA I SVIJET 1 : udžbenik povijesti za 1. razred četverogodišnjih strukovnih škola;Zdenko Samaržija;udžbenik;97,00;ŠK;;1. razred srednje škole
EKONOMSKE ŠKOLE ;;;;;;;
5422;RAČUNOVODSTVO 1 : udžbenik za 1. razred srednje škole za zanimanje ekonomist/ekonomistica;Maja Safret, Branka Marić, Ljerka Dragović-Kovač, Dubravka Hržica;udžbenik;89,00;ŠK;Novo;1. razred srednje škole
5406;OSNOVE EKONOMIJE 1 : radna bilježnica u prvom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Jošić, Tatjana Putar, Gordana Zoretić;radna bilježnica;59,00;ŠK;Novo;1. razred srednje škole
5423;RAČUNOVODSTVO 1 : radna billježnica za 1. razred srednje škole za zanimanje ekonomist/ekonomistica;Branka Marić, Ljerka Dragović-Kovač;radna bilježnica;59,00;ŠK;Novo;1. razred srednje škole
5405;OSNOVE EKONOMIJE 1 : udžbenik u prvom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Jošić, Josipa Ilić, Anto Mandir, Marija Mesić Škorić, Ivana Plesec, Ivan Režić, Silvija Marinčić-Svetoivanec, Nela Terihaj, Melita Todorović;udžbenik;79,00;ŠK;Novo;1. razred srednje škole
5414;PODUZETNIŠTVO 1 : udžbenik u prvom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica;Jadranka Bernik, Višnja Dorčić-Kereković, Suzana Đurđević, Marija Tolušić, Biserka Viljetić, Bosiljka Vinković Kukolić;udžbenik;99,00;ŠK;Novo;1. razred srednje škole
5416;POSLOVNE KOMUNIKACIJE 1 : udžbenik za 1. razred srednje škole za zanimanje ekonomist/ekonomistica;Olivera Jurković Majić, Helena Majić;udžbenik;109,00;ŠK;Novo;1. razred srednje škole
5404;OBITELJSKI POSAO : udžbenik u prvom razredu srednjih strukovnih škola za zanimanje ekonomist/ekonomistica - izborni predmet;Željko Tintor, Igor Čizmadija;udžbenik;89,00;ŠK;Novo;1. razred srednje škole
Hotelijersko-turistički tehničar - 1. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4927;"CHOICES INTERMEDIATE : radna bilježnica engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Rod Fricker;radna bilježnica;65,00;LJEVAK;Novo;1. razred srednje škole
4926;"CHOICES INTERMEDIATE : udžbenik engleskog jezika za 1. i 2. razred gimnazija, prvi strani jezik; 1. i 2. razred ili 2. i 3. razred četverogodišnjih strukovnih škola, prvi strani jezik; 2. i 3. ili 3. razred trogodišnjih strukovnih škola , prvi strani jezik; 1. i 2. razred medicinskih škola, prvi strani jezik. Za 3. i 4. razred gimnazija, drugi strani jezik i 3. i 4. razred četverogodišnjih strukovnih škola, drugi strani jezik.";Michael Harris, Anna Sikorzynska;udžbenik;95,00;LJEVAK;Novo;1. razred srednje škole
NJEMAČKI JEZIK ;;;;;;;
2792;DEUTSCH.COM 1 : udžbenik njemačkog jezika za 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik;Anta Kursiša, Gerhard Neuner, Lina Pilypaityte, Erna Szakaly, Sara Vicente;udžbenik;110,00;ALGORITAM;;1. razred srednje škole
2791;DEUTSCH.COM 1 : radna bilježnica njemačkog jezika za 1. i 2. razred gimnazija i četverogodišnjih strukovnih škola, 2. strani jezik;Carmen Cristache, Birgit Kirchner, Gerhard Neuner, Lina Pilypaityte, Erna Szakaly, Sara Vicente;radna bilježnica s CD-om;91,00;ALGORITAM;;1. razred srednje škole
HRVATSKI JEZIK - KNJIŽEVNOST ;;;;;;;
841;KNJIŽEVNI VREMEPLOV 1 : čitanka za 1. razred gimnazije;Dragica Dujmović-Markusi;udžbenik;110,00;PROFIL;;1. razred srednje škole
HRVATSKI JEZIK - JEZIK I JEZIČNO IZRAŽAVANJE ;;;;;;;
5503;UČIMO HRVATSKI JEZIK 1 : radna bilježnica za hrvatski jezik u prvom razredu gimnazije;Marina Čubrić;radna bilježnica;36,00;ŠK;Novo;1. razred srednje škole
5502;UČIMO HRVATSKI JEZIK 1 : udžbenik hrvatskog jezika u prvom razredu gimnazije;Marina Čubrić;udžbenik;72,00;ŠK;Novo;1. razred srednje škole
BIOLOGIJA ;;;;;;;
2094;ČOVJEK I OKOLIŠ : radna bilježnica iz biologije - MODUL C - za 1. i 2. razred srednjih strukovnih škola;Mišo Rašan, Krešimir Trojko;radna bilježnica;39,00;ŠK;;1. razred srednje škole
1638;ČOVJEK, ZDRAVLJE I OKOLIŠ : udžbenik biologije za 1. i 2. razred srednjih strukovnih škola;Milivoj Boranić, Jasna Matekalo Draganović, Milivoj Slijepčević;udžbenik;95,00;ŠK;;1. razred srednje škole
2095;ČOVJEK I ZDRAVLJE : radna bilježnica iz biologije - MODUL B - za 1. i 2. razred srednjih strukovnih škola;Mišo Rašan, Krešimir Trojko;radna bilježnica;39,00;ŠK;;1. razred srednje škole
TALIJANSKI JEZIK - DRUGI STRANI JEZIK ;;;;;;;
