Tip ustanove:;Srednja škola;;;;;;
Županija:;Dubrovačko-Neretvanska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
OBRTNIČKA ŠKOLA;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
Arhitektonski tehničar - 1. razred srednje škole ;;;;;;;
ENGLESKI JEZIK ;;;;;;;
4791;ENGLISH IN MIND 3 : Student's Book 3 with DVD-ROM: za učenje engleskog kao 1. stranog jezika u 4.-god. strukovnim školama;Herbert Puchta, Jeff Stranks, Richard Carter, Peter Lewis-Jones;udžbenik;105,00;KLETT;Novo;1. razred srednje škole
4792;ENGLISH IN MIND 3 : Workbook 3: za učenje engleskog kao 1. stranog jezika u 4.-god. strukovnim školama;Herbert Puchta, Jeff Stranks, Richard Carter, Peter Lewis-Jones;radna bilježnica;55,00;KLETT;Novo;1. razred srednje škole
GEOGRAFIJA ;;;;;;;
4902;GEOGRAFIJA 1 : udžbenik iz geografije za I. razred srednjih strukovnih škola;Emil Čokonaj, Ružica Vuk;udžbenik;99,00;MERIDIJANI;Novo;1. razred srednje škole
ETIKA ;;;;;;;
1700;ETIKA 1 : udžbenik za 1. razred gimnazije i srednje škole;Ćiril Čoh, Marija Lamot, Ksenija Matuš;udžbenik;89,00;ŠK;;1. razred srednje škole
VJERONAUK ;;;;;;;
1709;ODVAŽNI SVJEDOCI : udžbenik vjeronauka za 2. razred srednje škole;Viktorija Gadža, Nikola Milanović, Rudi Paloš, Dušan Vuletić;udžbenik;53,00;SALESIANA;;1. razred srednje škole
HRVATSKI JEZIK - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE - KNJIŽEVNOST ;;;;;;;
5390;ČITANKA 1 : čitanka u prvom razredu četverogodišnje srednje strukovne škole;Marija Čurić, Sanja Dužević-Šepac, Žarko Gazzari, Davorka Horvatek-Modrić, Ruža Križan-Sirovica;udžbenik;103,00;ŠK;Novo;1. razred srednje škole
MATEMATIKA - ZA ČETVEROGODIŠNJE PROGRAME ;;;;;;;
4760;MATEMATIKA 1 - 1. DIO : udžbenik i zbirka zadataka za 1. razred gimnazija i tehničkih škola;Branimir Dakić, Neven Elezović;udžbenik sa zbirkom zadataka;72,50;ELEMENT;Novo;1. razred srednje škole
4761;MATEMATIKA 1 - 2. DIO : udžbenik i zbirka zadataka za 1. razred gimnazija i tehničkih škola;Branimir Dakić, Neven Elezović;udžbenik sa zbirkom zadataka;72,50;ELEMENT;Novo;1. razred srednje škole
INFORMATIKA - RAČUNALSTVO ;;;;;;;
5374;RAČUNALSTVO : udžbenik računalstva s višemedijskim nastavnim materijalima u trogodišnjim strukovnim školama - jednogodišnji program učenja;Darko Grundler, Sanda Šutalo;udžbenik s višemedijskim nastavnim materijalima;109,00;ŠK;Novo;1. razred srednje škole
FIZIKA - ČETVEROGODIŠNJI STRUKOVNI PROGRAM ;;;;;;;
4002;FIZIKA 1, POJMOVI I KONCEPTI : udžbenik s multimedijskim sadržajem za 1. razred četverogodišnjih strukovnih škola s četverogodišnjim učenjem fizike;Dubravko Horvat, Dario Hrupec;udžbenik s multimedijskim sadržajem;156,45;NEODIDACTA;;1. razred srednje škole
4036;FIZIKA 1, POJMOVI I KONCEPTI : zbirka zadataka za 1. razred četverogodišnjih strukovnih škola s četverogodišnjim učenjem fizike;Dubravko Horvat, Dario Hrupec, Branko Maković;zbirka zadataka;72,45;NEODIDACTA;;1. razred srednje škole
POVIJEST - ZA ČETVEROGODIŠNJE STRUKOVNE ŠKOLE ;;;;;;;
