Tip ustanove:;Srednja škola;;;;;;
Županija:;Međimurska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
CENTAR ZA ODGOJ I OBRAZOVANJE ČAKOVEC;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
Osnovnoškolski program prema članku 12 / posebni program - 1. razred osnovne škole ;;;;;;;
HRVATSKI JEZIK - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
700;ČITANČICA ŠAPTALICA : čitanka za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;udžbenik;49,00;ŠK;;1. razred osnovne škole
702;POČETNICA ŠAPTALICA 1 : udžbenik za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;udžbenik;62,00;ŠK;;1. razred osnovne škole
703;POČETNICA ŠAPTALICA 2 : udžbenik za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;udžbenik;62,00;ŠK;;1. razred osnovne škole
704;POČETNICA ŠAPTALICA 3 : udžbenik za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;udžbenik;62,00;ŠK;;1. razred osnovne škole
705;RADNA BILJEŽNICA 1 : vježbe za razvoj grafomotorike : radna bilježnica za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;radna bilježnica;49,00;ŠK;;1. razred osnovne škole
706;RADNA BILJEŽNICA 2 : pisana slova : radna bilježnica za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;radna bilježnica;49,00;ŠK;;1. razred osnovne škole
707;SLOVARICA : za učenike s posebnim potrebama za 1. do 4. razred;Vesna Đurek;slovarica;62,00;ŠK;;1. razred osnovne škole
MATEMATIKA - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
711;MOJA MALA MATEMATIKA - RAČUNAJMO DO 5 : radna bilježnica iz matematike za učenike usporenog kognitivnog razvoja 1.-2. razreda;Vesna Đurek;radna bilježnica;49,00;ŠK;;1. razred osnovne škole
712;MOJA MALA MATEMATIKA - RAČUNAJMO DO 5 : udžbenik matematike za učenike usporenog kognitivnog razvoja za 1.-2. razred s didaktičkim igrama;Vesna Đurek;udžbenik;62,00;ŠK;;1. razred osnovne škole
PRIRODA I DRUŠTVO - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
4015;VOLIM ZAVIČAJ 1 : udžbenik s radnom bilježnicom;Nives Čagalj, Milica Duvnjak, Marija Petričević;udžbenik s radnom bilježnicom;125,00;ALKA;;1. razred osnovne škole
