Tip ustanove:;Srednja škola;;;;;;
Županija:;Grad Zagreb;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
CENTAR ZA ODGOJ I OBRAZOVANJE GOLJAK;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
Osnovnoškolski program prema članku 12 / posebni program - 1. razred osnovne škole ;;;;;;;
HRVATSKI JEZIK - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
5618;POČETNICA - 2. DIO - PISANA SLOVA : za učenike s posebnim odgojno-obrazovnim potrebama integriranim u redovnu nastavu;Daniela Abramović, Višnja Grozdek;udžbenik;62,00;ŠK;Novo;1. razred osnovne škole
5620;RADNA BILJEŽNICA UZ POČETNICU - 2. DIO - PISANA SLOVA : za učenike s posebnim odgojno-obrazovnim potrebama integriranim u redovnu nastavu;Daniela Abramović, Višnja Grozdek;radna bilježnica;49,00;ŠK;Novo;1. razred osnovne škole
5619;RADNA BILJEŽNICA UZ POČETNICU - 1. DIO - TISKANA SLOVA : za učenike s posebnim odgojno-obrazovnim potrebama integriranim u redovnu nastavu;Daniela Abramović, Višnja Grozdek;radna bilježnica;49,00;ŠK;Novo;1. razred osnovne škole
5617;POČETNICA - 1. DIO - TISKANA SLOVA : za učenike s posebnim odgojno-obrazovnim potrebama integriranim u redovnu nastavu;Daniela Abramović, Višnja Grozdek;udžbenik;62,00;ŠK;Novo;1. razred osnovne škole
MATEMATIKA - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
711;MOJA MALA MATEMATIKA - RAČUNAJMO DO 5 : radna bilježnica iz matematike za učenike usporenog kognitivnog razvoja 1.-2. razreda;Vesna Đurek;radna bilježnica;49,00;ŠK;;1. razred osnovne škole
709;MOJA MALA MATEMATIKA - RAČUNAJMO DO 10 : radna bilježnica iz matematike za učenike usporenog kognitivnog razvoja 1.-2. razreda;Vesna Đurek;radna bilježnica;49,00;ŠK;;1. razred osnovne škole
712;MOJA MALA MATEMATIKA - RAČUNAJMO DO 5 : udžbenik matematike za učenike usporenog kognitivnog razvoja za 1.-2. razred s didaktičkim igrama;Vesna Đurek;udžbenik;62,00;ŠK;;1. razred osnovne škole
710;MOJA MALA MATEMATIKA - RAČUNAJMO DO 10 : udžbenik matematike za učenike usporenog kognitivnog razvoja za 1.-2. razred s didaktičkim igrama;Vesna Đurek;udžbenik;62,00;ŠK;;1. razred osnovne škole
PRIRODA I DRUŠTVO - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
