Glazbena škola Ferdo Livadić;Zagrebačka
OSNOVNA ŠKOLA pri Specijalnoj bolnici za medicinsku rehabilitaciju Krapinske Toplice;Krapinsko-Zagorska
CENTAR ZA ODGOJ I OBRAZOVANJE DJECE I MLADEŽI;Karlovačka
Centar za odgoj i obrazovanje Tomislav Špoljar;Varaždinska
Glazbena škola u Varaždinu;Varaždinska
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU PODRAVSKO SUNCE;Koprivničko-Križevačka
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU KRIŽEVCI;Koprivničko-Križevačka
CENTAR ZA ODGOJ I OBRAZOVANJE RUDOLF STEINER DARUVAR;Bjelovarsko-Bilogorska
GLAZBENA ŠKOLA BRUNE BJELINSKOG DARUVAR;Bjelovarsko-Bilogorska
Glazbena škola Ivana Matetića Ronjgova Rijeka;Primorsko-Goranska
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU VIROVITICA;Virovitičko-Podravska
Glazbena škola Požega;Požeško-Slavonska
OSNOVNA ŠKOLA MILAN AMRUŠ;Brodsko-Posavska
Glazbena škola Slavonski Brod;Brodsko-Posavska
Centar za odgoj i obrazovanje Ivan Štark;Osječko-Baranjska
PROSVJETNO-KULTURNI CENTAR MAĐARA U REPUBLICI HRVATSKOJ;Osječko-Baranjska
GLAZBENA ŠKOLA FRANJE KUHAČA Osijek;Osječko-Baranjska
