1;OSNOVNA ŠKOLA JOSIPA ZORIĆA;ZAGREBAČKA
2;OSNOVNA ŠKOLA IVAN BENKOVIĆ;ZAGREBAČKA
3;OSNOVNA ŠKOLA ĐURE DEŽELIĆA IVANIĆ GRAD;ZAGREBAČKA
4;OSNOVNA ŠKOLA STJEPANA BASARIČEKA;ZAGREBAČKA
5;OSNOVNA ŠKOLA JOSIPA BADALIĆA GRABERJE IVANIĆKO;ZAGREBAČKA
6;OSNOVNA ŠKOLA POSAVSKI BREGI;ZAGREBAČKA
7;OSNOVNA ŠKOLA LJUBO BABIĆ;ZAGREBAČKA
8;OSNOVNA ŠKOLA BOGUMILA TONIJA;ZAGREBAČKA
9;OSNOVNA ŠKOLA MIHAELA ŠILOBODA;ZAGREBAČKA
10;OSNOVNA ŠKOLA SAMOBOR;ZAGREBAČKA
11;OSNOVNA ŠKOLA MILANA LANGA;ZAGREBAČKA
12;OSNOVNA ŠKOLA RUDE;ZAGREBAČKA
13;GLAZBENA ŠKOLA FERDO LIVADIĆ;ZAGREBAČKA
14;OSNOVNA ŠKOLA EUGENA KVATERNIKA;ZAGREBAČKA
15;OSNOVNA ŠKOLA JURJA HABDELIĆA;ZAGREBAČKA
16;OSNOVNA ŠKOLA VUKOVINA;ZAGREBAČKA
17;OSNOVNA ŠKOLA NIKOLE HRIBARA;ZAGREBAČKA
18;OSNOVNA ŠKOLA EUGENA KUMIČIĆA;ZAGREBAČKA
19;OSNOVNA ŠKOLA VELIKA MLAKA;ZAGREBAČKA
20;OSNOVNA ŠKOLA ŠĆITARJEVO;ZAGREBAČKA
21;I. OSNOVNA ŠKOLA VRBOVEC;ZAGREBAČKA
22;II. OSNOVNA ŠKOLA VRBOVEC;ZAGREBAČKA
23;OSNOVNA ŠKOLA ANTUNA AUGUSTINČIĆA;ZAGREBAČKA
24;OSNOVNA ŠKOLA LJUDEVITA GAJA;ZAGREBAČKA
25;OSNOVNA ŠKOLA KUPLJENOVO;ZAGREBAČKA
26;OSNOVNA ŠKOLA DRAGUTINA DOMJANIĆA;ZAGREBAČKA
27;OSNOVNA ŠKOLA KSAVERA ŠANDORA ĐALSKOG;ZAGREBAČKA
28;OSNOVNA ŠKOLA IVANA PERKOVCA;ZAGREBAČKA
29;OSNOVNA ŠKOLA IVANE BRLIĆ-MAŽURANIĆ;ZAGREBAČKA
30;OSNOVNA ŠKOLA PAVAO BELAS;ZAGREBAČKA
31;OSNOVNA ŠKOLA RUGVICA;ZAGREBAČKA
32;OSNOVNA ŠKOLA STJEPAN RADIĆ;ZAGREBAČKA
33;OSNOVNA ŠKOLA PUŠĆA;ZAGREBAČKA
34;OSNOVNA ŠKOLA SVETA NEDELJA;ZAGREBAČKA
35;OSNOVNA ŠKOLA KLINČA SELA;ZAGREBAČKA
36;OSNOVNA ŠKOLA VLADIMIR NAZOR;ZAGREBAČKA
37;OSNOVNA ŠKOLA KARDINAL ALOJZIJE STEPINAC;ZAGREBAČKA
38;OSNOVNA ŠKOLA GRADEC;ZAGREBAČKA
39;OSNOVNA ŠKOLA DUBRAVA;ZAGREBAČKA
40;OSNOVNA ŠKOLA JAKOVLJE;ZAGREBAČKA
41;OSNOVNA ŠKOLA BRAĆE RADIĆA;ZAGREBAČKA
42;OSNOVNA ŠKOLA MILKE TRNINE;ZAGREBAČKA
43;OSNOVNA ŠKOLA ANTE KOVAČIĆA;ZAGREBAČKA
44;OSNOVNA ŠKOLA POKUPSKO;ZAGREBAČKA
45;OSNOVNA ŠKOLA SLAVKA KOLARA;ZAGREBAČKA
46;OSNOVNA ŠKOLA BISTRA;ZAGREBAČKA
47;OSNOVNA ŠKOLA LUKA;ZAGREBAČKA
48;OSNOVNA ŠKOLA BEDENICA;ZAGREBAČKA
49;OSNOVNA ŠKOLA DONJA STUBICA;KRAPINSKO-ZAGORSKA
50;OSNOVNA ŠKOLA STUBIČKE TOPLICE;KRAPINSKO-ZAGORSKA
51;OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA;KRAPINSKO-ZAGORSKA
52;OSNOVNA ŠKOLA AUGUSTA CESARCA, KRAPINA;KRAPINSKO-ZAGORSKA
53;OSNOVNA ŠKOLA LJUDEVIT GAJ U KRAPINI;KRAPINSKO-ZAGORSKA
54;OSNOVNA ŠKOLA KSAVERA ŠANDORA GJALSKOG;KRAPINSKO-ZAGORSKA
55;OSNOVNA ŠKOLA ZLATAR BISTRICA;KRAPINSKO-ZAGORSKA
56;OSNOVNA ŠKOLA JANKA LESKOVARA;KRAPINSKO-ZAGORSKA
57;OSNOVNA ŠKOLA BEDEKOVČINA;KRAPINSKO-ZAGORSKA
58;OSNOVNA ŠKOLA STJEPANA RADIĆA BRESTOVEC OREHOVIČKI;KRAPINSKO-ZAGORSKA
59;OSNOVNA ŠKOLA VLADIMIR NAZOR BUDINŠĆINA;KRAPINSKO-ZAGORSKA
60;OSNOVNA ŠKOLA ĐURE PREJCA DESINIĆ;KRAPINSKO-ZAGORSKA
61;OSNOVNA ŠKOLA ĐURMANEC;KRAPINSKO-ZAGORSKA
62;OSNOVNA ŠKOLA MATIJE GUPCA;KRAPINSKO-ZAGORSKA
63;OSNOVNA ŠKOLA VIKTORA KOVAČIĆA;KRAPINSKO-ZAGORSKA
64;OSNOVNA ŠKOLA PAVLA ŠTOOSA;KRAPINSKO-ZAGORSKA
65;OSNOVNA ŠKOLA LIJEPA NAŠA;KRAPINSKO-ZAGORSKA
66;OSNOVNA ŠKOLA KONJŠČINA;KRAPINSKO-ZAGORSKA
67;OSNOVNA ŠKOLA KRAPINSKE TOPLICE;KRAPINSKO-ZAGORSKA
68;OSNOVNA ŠKOLA PRI SPECIJALNOJ BOLNICI ZA MEDICINSKU REHABILITACIJU KRAPINSKE TOPLICE;KRAPINSKO-ZAGORSKA
69;OSNOVNA ŠKOLA FRANJE HORVATA KIŠA;KRAPINSKO-ZAGORSKA
70;OSNOVNA ŠKOLA MAČE;KRAPINSKO-ZAGORSKA
71;OSNOVNA ŠKOLA MARIJA BISTRICA;KRAPINSKO-ZAGORSKA
72;OSNOVNA ŠKOLA LJUDEVIT GAJ MIHOVLJAN;KRAPINSKO-ZAGORSKA
73;OSNOVNA ŠKOLA OROSLAVJE;KRAPINSKO-ZAGORSKA
74;OSNOVNA ŠKOLA ANTUNA MIHANOVIĆA PETROVSKO;KRAPINSKO-ZAGORSKA
75;OSNOVNA ŠKOLA SIDE KOŠUTIĆ RADOBOJ;KRAPINSKO-ZAGORSKA
76;OSNOVNA ŠKOLA SVETI KRIŽ ZAČRETJE;KRAPINSKO-ZAGORSKA
77;OSNOVNA ŠKOLA VELIKO TRGOVIŠĆE;KRAPINSKO-ZAGORSKA
78;OSNOVNA ŠKOLA ANTE KOVAČIĆA;KRAPINSKO-ZAGORSKA
79;OSNOVNA ŠKOLA BELEC;KRAPINSKO-ZAGORSKA
80;OSNOVNA ŠKOLA GORNJE JESENJE;KRAPINSKO-ZAGORSKA
81;OSNOVNA ŠKOLA JOSIPA BROZA;KRAPINSKO-ZAGORSKA
82;OSNOVNA ŠKOLA DVOR;SISAČKO-MOSLAVAČKA
83;OSNOVNA ŠKOLA GLINA;SISAČKO-MOSLAVAČKA
84;OSNOVNA ŠKOLA DAVORINA TRSTENJAKA;SISAČKO-MOSLAVAČKA
85;OSNOVNA ŠKOLA BANOVA JARUGA;SISAČKO-MOSLAVAČKA
86;OSNOVNA ŠKOLA MATE LOVRAKA;SISAČKO-MOSLAVAČKA
87;OSNOVNA ŠKOLA VLADIMIRA VIDRIĆA;SISAČKO-MOSLAVAČKA
88;OSNOVNA ŠKOLA STJEPANA KEFELJE;SISAČKO-MOSLAVAČKA
89;OSNOVNA ŠKOLA ZVONIMIRA FRANKA;SISAČKO-MOSLAVAČKA
90;OSNOVNA ŠKOLA NOVSKA;SISAČKO-MOSLAVAČKA
91;OSNOVNA ŠKOLA RAJIĆ;SISAČKO-MOSLAVAČKA
92;I. OSNOVNA ŠKOLA PETRINJA;SISAČKO-MOSLAVAČKA
93;OSNOVNA ŠKOLA MATE LOVRAKA PETRINJA;SISAČKO-MOSLAVAČKA
94;OSNOVNA ŠKOLA DRAGUTINA TADIJANOVIĆA PETRINJA;SISAČKO-MOSLAVAČKA
